open_ngc_name,English,zh-CN
NGC7114,Schmidt's Nova Cygni,施密特新星
NGC7293,Helix Nebula,螺旋星云
NGC7635,Bubble Nebula,气泡星云
NGC7662,Copeland's Blue Snowball,蓝雪球星云
B033,Horsehead Nebula,马头星云
C009,Cave Nebula,洞穴星云
C014,"Double Cluster, h & chi Persei",双星团
C041,Hyades,毕星团
C099,Coalsack Nebula,煤袋星云
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",衣架星团
ESO056-115,"Large Magellanic Cloud, Nubecula Major",大麦哲伦云
ESO097-013,Circinus Galaxy,圆规座星系
ESO270-017,Fourcade-Figueroa,富尔卡德-菲格罗亚天体
ESO351-030,Sculptor Dwarf Elliptical,玉夫座矮星系
ESO356-004,Fornax Dwarf Spheroidal,天炉座矮星系
HCG079,Seyfert's Sextet,赛弗特六重星系
HCG092,Stephan's Quintet,斯蒂芬五重星系
Mel022,Pleiades,昴星团
Mel111,Coma Star Cluster,后发星团
PGC000143,Wolf-Lundmark-Melotte Galaxy,WLM星系
PGC029653,Sextans A,六分仪座A
PGC088608,Sextans Dwarf Spheroidal,六分仪座矮球状星系
UGC05373,Sextans B,六分仪座B星系
UGC05470,Leo I,狮子座I星系
