hip,name,bayer,flamsteed
12484,,ζ,
12486,,ι,
12489,,,33
12530,,,84
12623,,,12
12640,,μ,34
12647,,,85
12653,,ι,
12692,,,11
12706,Kaffaljidhma,γ,86
12719,,,35
12768,,,14
12770,,π,89
12777,,θ,13
12784,,,36
12803,,ο,37
12828,,μ,87
12832,,,38
12843,,τ¹,1
12871,,γ,
12876,,ζ,
12961,Koeia,,
13040,,η¹,
13061,Lilii Borea,,39
13108,,,40
13141,,ν,
13147,,β,
13165,,π,42
13192,Nushagak,,
13197,,γ¹,
13202,,γ²,
13209,,,41
13225,,η²,
13244,,ν,
13254,,,16
13265,,η³,
13268,Miram,η,15
13288,Angetenar,τ²,2
13327,,σ,43
13328,,,17
13473,,ψ,
13490,,,20
13531,,τ,18
13579,,ρ¹,44
13654,,,45
13701,Azha,η,3
13702,,ρ,46
13775,,,21
13782,,,4
13834,,,47
13835,,,6
13847,Acamar,θ¹,
13879,,π,22
13884,,β,
13905,,,24
13914,,ε,48
13942,,ζ,
13951,,,5
13954,,λ,91
13993,Ayeyarwady,,
14040,,,7
14060,,ρ¹,8
14086,,ε,
14109,,,49
14131,,θ,
14135,Menkar,α,92
14143,,,93
14146,,τ³,11
14150,,,51
14168,,ρ²,9
14240,,μ,
14293,,ρ³,10
14328,,γ,23
14354,,ρ,25
14376,,,52
14514,,,53
14576,Algol,β,26
14586,,,54
14632,,ι,
14668,Misam,κ,27
14677,,,55
14817,,ω,28
14838,Botein,δ,57
14879,Dalim,α,
14893,,,56
14954,,,94
15110,,ζ,58
15197,Zibal,ζ,13
15201,,ι,
15244,,,14
15330,,ζ¹,
15338,,,30
15371,,ζ²,
15382,,,15
15383,,,95
15404,,,29
15444,,,31
15457,,κ,96
15474,,τ⁴,16
15510,,,82
15514,,,59
15557,,,60
15578,Intan,,
15619,,,97
15627,,τ,61
15648,,,32
15696,,,62
15737,,,63
15861,,,64
15863,Mirfak,α,33
15870,,,65
15900,,ο,1
15987,,χ¹,
16083,,ξ,2
16112,,χ²,
16156,,χ³,
16181,,,66
16244,,,34
16245,,κ,
16322,,,4
16335,,σ,35
16341,,,17
16369,,,5
16499,,,36
16511,,,6
16537,Ran,ε,18
16611,,τ⁵,19
16664,,,7
16803,,,20
16826,,ψ,37
16852,,,10
16859,,,9
17007,,τ,
17027,,,21
17096,Tupi,,
17103,,,12
17167,,,22
17181,,,11
17304,,δ,
17309,,,13
17313,,,40
17358,,δ,39
17378,Rana,δ,23
17408,,,14
17440,,β,
17448,Atik,ο,38
17457,,,24
17489,Celaeno,,16
17499,Electra,,17
17506,,,25
17527,,,18
17529,,ν,41
17531,Taygeta,,19
17563,,,29
17573,Maia,,20
17579,Asterope,,21
17588,,,22
17593,,π,26
17608,Merope,,23
17618,,σ,
17651,,τ⁶,27
