open_ngc_name,English,French,Farsi,zh-CN
NGC4609,Coalsack Cluster,Coalsack Cluster,,煤袋星团
NGC4631,Whale Galaxy,Galaxie de la Baleine,,鲸鱼星系
NGC4651,Umbrella Galaxy,Galaxie Parapluie,,雨伞星系
NGC4676,Mice Galaxy,Les galaxies des Souris,,双鼠星系
NGC4755,"Herschel's Jewel Box, kappa Crucis Cluster",Amas de Kappa Crucis,,宝盒星团
NGC4826,"Black Eye Galaxy, Evil Eye Galaxy",Galaxie de l'¿il noir,,黑眼星系
NGC4990,Cocoon Galaxy,Cocoon Galaxy,,茧状星系
NGC5055,Sunflower Galaxy,Sunflower Galaxy,,葵花星系
NGC5128,Centaurus A,Centaurus A,,半人马座A
NGC5139,Omega Centauri,Omega Centauri,,欧米伽星团
NGC5194,Whirlpool Galaxy,Galaxie du Tourbillon,,涡状星系
NGC5236,Southern Pinwheel Galaxy,Southern Pinwheel Galaxy,,南风车星系
NGC6087,S Normae Cluster,Amas S Normae,,S星团
NGC6188,Firebird Nebula,Dragons combattants de l'Autel[,,轮廓星云
NGC6205,Hercules Globular Cluster,Amas d'Hercule,,武仙座球状星团
NGC6302,"Bug Nebula, Butterfly Nebula",Nébuleuse du Papillon,,小虫星云
NGC6309,Box Nebula,Nébuleuse de la Boîte,,盒状星云
NGC6357,the War and Peace Nebula,the War and Peace Nebula,,龙虾星云
NGC6369,Little Ghost Nebula,Nébuleuse du Petit Fantôme,,小幽灵星云
NGC6405,Butterfly Cluster,Amas du Papillon,,蝴蝶星团
NGC6445,Little Gem,Nébuleuse de la Petite pierre précieuse,,小宝石星云
NGC6475,Ptolemy's Cluster,Amas de Ptolémée,,托勒密星团
NGC6514,Trifid Nebula,Nébuleuse Trifide,,三叶星云
NGC6523,Lagoon Nebula,Nébuleuse de la Lagune,,礁湖星云
NGC6537,Red Spider Nebula,Nébuleuse de l'Araignée rouge,,红蜘蛛星云
NGC6543,Cat's Eye Nebula,Nébuleuse de l'OEil de Chat,,猫眼星云
NGC6611,Eagle Nebula,Amas de l'Aigle,,鹰状星云
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula",Nébuleuse Oméga,,天鹅星云
NGC6705,Wild Duck Cluster,Amas du Canard sauvage,,野鸭星团
