open_ngc_name,English,French
NGC6537,Red Spider Nebula,Nébuleuse de l'Araignée rouge
NGC6543,Cat's Eye Nebula,Nébuleuse de l'OEil de Chat
NGC6611,Eagle Nebula,Amas de l'Aigle
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula",Nébuleuse Oméga
NGC6705,Wild Duck Cluster,Amas du Canard sauvage
NGC6720,Ring Nebula,Nébuleuse de la Lyre
NGC6741,Phantom Streak Nebula,Nébuleuse de la Trace de fantôme
NGC6818,Little Gem Nebula,Nébuleuse de la Petite pierre précieuse
NGC6819,Foxhead Cluster,Amas de la Tête de Renard
NGC6822,Barnard's Galaxy,Galaxie de Barnard
NGC6826,Blinking Planetary,Nébuleuse clignotante
NGC6853,Dumbbell Nebula,Nébuleuse de l'Haltère
NGC6888,Crescent Nebula,Nébuleuse du Croissant
NGC6905,Blue Flash Nebula,Nébuleuse de l'Éclair bleu
NGC6946,Fireworks Galaxy,Galaxie du Feu d'artifice
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil",Nébuleuse du Balai de Sorcière
NGC6992,"Eastern Veil, Network Nebula",Nébuleuse du Voile
NGC6995,"Eastern Veil, Network Nebula",Nébuleuse du Voile
NGC7000,North America Nebula,Nébuleuse de l'Amérique du Nord
NGC7009,Saturn Nebula,Nébuleuse Saturne
NGC7023,Iris Nebula,Nébuleuse de l'Iris
NGC7114,Schmidt's Nova Cygni,Q Cygni
NGC7293,Helix Nebula,Nébuleuse de l'Hélice
NGC7635,Bubble Nebula,Nébuleuse de la Bulle
NGC7662,Copeland's Blue Snowball,Nébuleuse de la Boule de neige bleue
B033,Horsehead Nebula,Nébuleuse de la Tête de Cheval
C009,Cave Nebula,Nébuleuse de la Grotte
C014,"Double Cluster, h & chi Persei",Double amas h et chi Persei
C041,Hyades,Hyades
C099,Coalsack Nebula,Sac de charbon
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Amas du Cintre
ESO056-115,"Large Magellanic Cloud, Nubecula Major",Grand Nuage de Magellan
ESO097-013,Circinus Galaxy,Galaxie du Compas
ESO270-017,Fourcade-Figueroa,Objet de Fourcade-Figueroa
ESO351-030,Sculptor Dwarf Elliptical,Galaxie naine du Sculpteur
ESO356-004,Fornax Dwarf Spheroidal,Galaxie naine du Fourneau
HCG079,Seyfert's Sextet,Sextette de Seyfert
HCG092,Stephan's Quintet,Quintette de Stephan
Mel022,Pleiades,Pléiades
Mel111,Coma Star Cluster,Amas stellaire de la Chevelure
PGC000143,Wolf-Lundmark-Melotte Galaxy,Galaxie de Wolf-Lundmark-Melotte
PGC029653,Sextans A,Galaxie du Sextant A
PGC088608,Sextans Dwarf Spheroidal,Galaxie naine du Sextant
UGC05373,Sextans B,Galaxie du Sextant B
UGC05470,Leo I,Naine du Lion
