open_ngc_name,English,Lithuanian
NGC6405,Butterfly Cluster,Drugelio spiečius (M6)
NGC6445,Little Gem,Mažasis brangakmenio ūkas (NGC 6445)
NGC6475,Ptolemy's Cluster,Ptolemėjaus spiečius (M7)
NGC6514,Trifid Nebula,Trifidės ūkas (M20)
NGC6523,Lagoon Nebula,Lagūnos ūkas (M8)
NGC6537,Red Spider Nebula,Raudonojo voro ūkas (NGC 6537)
NGC6543,Cat's Eye Nebula,Katės akies ūkas (NGC 6543)
NGC6611,Eagle Nebula,Erelio ūkas
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula","Gulbės ūkas, Omega ūkas (M17)"
NGC6705,Wild Duck Cluster,Laukinės anties spiečius (M11)
NGC6720,Ring Nebula,Žiedo ūkas
NGC6741,Phantom Streak Nebula,Šmėklos juostos ūkas
NGC6818,Little Gem Nebula,Mažasis brangakmenio ūkas (NGC 6818)
NGC6819,Foxhead Cluster,Lapės galvos spiečius
NGC6822,Barnard's Galaxy,Barnardo galaktika (NGC 6822)
NGC6826,Blinking Planetary,Mirkčiojantis ūkas (NGC 6826)
NGC6853,Dumbbell Nebula,Hantelio ūkas
NGC6888,Crescent Nebula,Pusmėnulio ūkas (NGC 6888)
NGC6905,Blue Flash Nebula,Mėlynojo Blykstės ūkas (NGC 6905)
NGC6946,Fireworks Galaxy,Fejerverkų galaktika (NGC 6946)
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil",Skraistės ūko Vakarinė dalis 
NGC6992,"Eastern Veil, Network Nebula",Rytinės skraistės ūkas (NGC 6992)
NGC6995,"Eastern Veil, Network Nebula",Rytinės skraistės ūkas (NGC 6995)
NGC7000,North America Nebula,Šiaurės Amerikos ūkas (NGC 7000)
NGC7009,Saturn Nebula,Saturno ūkas (NGC 7009)
NGC7023,Iris Nebula,Vyzdžio ūkas (NGC 7023)
NGC7114,Schmidt's Nova Cygni,Šmito Gulbės Nova
NGC7293,Helix Nebula,Sraigės ūkas
NGC7635,Bubble Nebula,Burbulo ūkas (NGC 7635)
NGC7662,Copeland's Blue Snowball,Sniego gniūžtės ūkas (NGC 7662)
B033,Horsehead Nebula,Arklio galvos ūkas
C009,Cave Nebula,Olos ūkas
C014,"Double Cluster, h & chi Persei",Persėjo dvigubas spiečius (NGC 869/884)
C041,Hyades,Hiadžių spiečius 
C099,Coalsack Nebula,Anglies maišo ūkas
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Pakabos asterizmas (Collinder 399)
ESO056-115,"Large Magellanic Cloud, Nubecula Major",Didysis Magelano debesis
ESO097-013,Circinus Galaxy,Skriestuvo galaktika
ESO270-017,Fourcade-Figueroa,Furkado-Figero spiečius
ESO351-030,Sculptor Dwarf Elliptical,Skulptoriaus nykštukinė eliptinė galaktika
ESO356-004,Fornax Dwarf Spheroidal,Krosnies nykštukinė sferoidinė galaktika
HCG079,Seyfert's Sextet,Seiferto sekstetas
HCG092,Stephan's Quintet,Stefano kvintetas (HCG 92)
Mel022,Pleiades,"Sietynas (M45, Plejadės)"
Mel111,Coma Star Cluster,Berenikės Garbanų spiečius (Melotte 111)
PGC000143,Wolf-Lundmark-Melotte Galaxy,Volfo-Lundmarko-Melotės galaktika (WLM)
PGC029653,Sextans A,Sekstanto A
PGC088608,Sextans Dwarf Spheroidal,Sekstanto nykštukinė sferoidinė galaktika
UGC05373,Sextans B,Sekstanto B
UGC05470,Leo I,Liūto I
