NGC6357,the War and Peace Nebula,the War and Peace Nebula
NGC6369,Little Ghost Nebula,Little Ghost Nebula
NGC6405,Butterfly Cluster,Butterfly Cluster
NGC6445,Little Gem,Little Gem
NGC6475,Ptolemy's Cluster,Ptolemy's Cluster
NGC6514,Trifid Nebula,Trifid Nebula
NGC6523,Lagoon Nebula,Lagoon Nebula
NGC6537,Red Spider Nebula,Red Spider Nebula
NGC6543,Cat's Eye Nebula,Cat's Eye Nebula
NGC6611,Eagle Nebula,Eagle Nebula
NGC6618,"Checkmark Nebula, Lobster Nebula, Swan Nebula, omega Nebula",Swan Nebula
NGC6705,Wild Duck Cluster,Wild Duck Cluster
NGC6720,Ring Nebula,Ring Nebula
NGC6741,Phantom Streak Nebula,Phantom Streak Nebula
NGC6818,Little Gem Nebula,Little Gem Nebula
NGC6819,Foxhead Cluster,Foxhead Cluster
NGC6822,Barnard's Galaxy,Barnard's Galaxy
NGC6826,Blinking Planetary,Blinking Planetary
NGC6853,Dumbbell Nebula,Dumbbell Nebula
NGC6888,Crescent Nebula,Crescent Nebula
NGC6905,Blue Flash Nebula,Blue Flash Nebula
NGC6946,Fireworks Galaxy,Fireworks Galaxy
NGC6960,"Veil Nebula, Filamentary Nebula, Western Veil",Veil Nebula
NGC6992,"Eastern Veil, Network Nebula",Eastern Veil
NGC6995,"Eastern Veil, Network Nebula",Eastern Veil
NGC7000,North America Nebula,North America Nebula
NGC7009,Saturn Nebula,Saturn Nebula
NGC7023,Iris Nebula,Iris Nebula
NGC7114,Schmidt's Nova Cygni,Schmidt's Nova Cygni
NGC7293,Helix Nebula,Helix Nebula
NGC7635,Bubble Nebula,Bubble Nebula
NGC7662,Copeland's Blue Snowball,Copeland's Blue Snowball
B033,Horsehead Nebula,Horsehead Nebula
C009,Cave Nebula,Cave Nebula
C014,"Double Cluster, h & chi Persei",Double Cluster
C041,Hyades,Hyades
C099,Coalsack Nebula,Coalsack Nebula
Cl399,"Brocchi's Cluster, Al Sufi's Cluster, Coathanger Asterism",Brocchi's Cluster
ESO056-115,"Large Magellanic Cloud, Nubecula Major",Large Magellanic Cloud
ESO097-013,Circinus Galaxy,Circinus Galaxy
ESO270-017,Fourcade-Figueroa,Fourcade-Figueroa
ESO351-030,Sculptor Dwarf Elliptical,Sculptor Dwarf Elliptical
ESO356-004,Fornax Dwarf Spheroidal,Fornax Dwarf Spheroidal
HCG079,Seyfert's Sextet,Seyfert's Sextet
HCG092,Stephan's Quintet,Stephan's Quintet
Mel022,Pleiades,Pleiades
Mel111,Coma Star Cluster,Coma Star Cluster
PGC000143,Wolf-Lundmark-Melotte Galaxy,Wolf-Lundmark-Melotte Galaxy
PGC029653,Sextans A,Sextans A
PGC088608,Sextans Dwarf Spheroidal,Sextans Dwarf Spheroidal
UGC05373,Sextans B,Sextans B
UGC05470,Leo I,Leo I
